id,site,species,species_site,transect,rhodolith_number,length_x,width_y,height_z,buoyant_weight,volume,volume_free_space,tip_number
3011,TMR,Lithothamnion,Lithothamnion_TMR,T106,R1,21.7,19.3,17.5,1.77,1.050289275,2.787257782,25
3020,TMR,Lithothamnion,Lithothamnion_TMR,T106,R10,21.1,17.3,12.5,1.16,0.688325174,1.700790589,
3012,TMR,Lithothamnion,Lithothamnion_TMR,T106,R2,26.2,21.8,17.6,2.22,1.317311972,3.946120738,
3013,TMR,Lithothamnion,Lithothamnion_TMR,T106,R3,22.3,18.9,14.2,1.46,0.866340306,2.267332393,
3014,TMR,Lithothamnion,Lithothamnion_TMR,T106,R4,32.6,28.7,22.1,5.88,3.489096573,7.337461077,
3015,TMR,Lithothamnion,Lithothamnion_TMR,T106,R5,27.4,20.2,15.5,2.5,1.483459427,3.008463053,
3016,TMR,Lithothamnion,Lithothamnion_TMR,T106,R6,23.6,18.7,15.1,1.87,1.109627652,2.379598984,25.4
3017,TMR,Lithothamnion,Lithothamnion_TMR,T106,R7,22.8,22.8,14.1,2.38,1.412253375,2.425591609,
3018,TMR,Lithothamnion,Lithothamnion_TMR,T106,R8,25.3,21.7,18.1,2.99,1.774217475,3.428825969,26.8
3019,TMR,Lithothamnion,Lithothamnion_TMR,T106,R9,24.9,21.2,14.8,2.87,1.703011423,2.387668938,
340,TMR,Lithothamnion,Lithothamnion_TMR,T11,R1,25,20,18,7.1,4.213024774,0.499364207,
349,TMR,Lithothamnion,Lithothamnion_TMR,T11,R10,28,24,20,6.65,3.946002077,3.091165467,24.2
341,TMR,Lithothamnion,Lithothamnion_TMR,T11,R2,28,17,17,3.55,2.106512387,2.130448905,
342,TMR,Lithothamnion,Lithothamnion_TMR,T11,R3,27,20,18,6.93,4.112149533,0.977230566,
343,TMR,Lithothamnion,Lithothamnion_TMR,T11,R4,23,19,16,4.75,2.818572912,0.842429727,22
344,TMR,Lithothamnion,Lithothamnion_TMR,T11,R5,25,15,15,4.83,2.866043614,0.079199499,
345,TMR,Lithothamnion,Lithothamnion_TMR,T11,R6,29,25,22,9.72,5.767690254,2.583710217,
346,TMR,Lithothamnion,Lithothamnion_TMR,T11,R7,25,24,18,7.03,4.17148791,1.483378867,
347,TMR,Lithothamnion,Lithothamnion_TMR,T11,R8,23,20,12,3.1,1.83948969,1.050775551,23.6
348,TMR,Lithothamnion,Lithothamnion_TMR,T11,R9,28,22,16,5.9,3.500964249,1.659625284,
330,MTA,Lithothamnion,Lithothamnion_MTA,T10,R1,42,34,30,20.54,12.18810266,10.24286889,
331,MTA,Lithothamnion,Lithothamnion_MTA,T10,R2,36,29,25,19.91,11.81427088,1.851657163,22.6
332,MTA,Lithothamnion,Lithothamnion_MTA,T10,R3,37,25,25,10.72,6.361074025,5.747147661,
333,MTA,Lithothamnion,Lithothamnion_MTA,T10,R4,31,25,20,8.45,5.014092865,3.101688157,21.4
334,MTA,Lithothamnion,Lithothamnion_MTA,T10,R5,24,21,17,5.24,3.10933096,1.37686335,16.8
3021,MTA,Lithothamnion,Lithothamnion_MTA,T112,R1,22.2,22,18.4,1.74,1.032487761,3.672864051,22
3022,MTA,Lithothamnion,Lithothamnion_MTA,T112,R2,25.5,20.4,17.7,1.82,1.079958463,3.741098207,22.8
3023,MTA,Lithothamnion,Lithothamnion_MTA,T112,R3,40.6,33,32.4,12.3,7.298620383,15.43055114,22.6
3024,MTA,Lithothamnion,Lithothamnion_MTA,T112,R4,29,25.1,24.1,5.59,3.31701528,5.868158645,
3025,MTA,Lithothamnion,Lithothamnion_MTA,T112,R5,30.7,22.1,20.4,2.05,1.21643673,6.03058292,
535,MTA,Lithothamnion,Lithothamnion_MTA,T12,R10,30,28,24,13.2,7.832665777,2.723085539,
531,MTA,Lithothamnion,Lithothamnion_MTA,T12,R6,32,27,25,10.38,6.159323543,5.15041001,
532,MTA,Lithothamnion,Lithothamnion_MTA,T12,R7,30,26,22,10.6,6.289867972,2.695087017,
533,MTA,Lithothamnion,Lithothamnion_MTA,T12,R8,29,25,19,7.44,4.414775256,2.797797878,
534,MTA,Lithothamnion,Lithothamnion_MTA,T12,R9,35,30,24,12.45,7.387627948,5.807061197,
3000,KWB,Sporolithon,Sporolithon_KWB,T101,R1,78.9,60.3,51.6,22.79,13.52321614,115.0180695,
3009,KWB,Sporolithon,Sporolithon_KWB,T101,R10,40.4,38.3,32.1,4.12,2.444741136,23.56187179,
3001,KWB,Sporolithon,Sporolithon_KWB,T101,R2,57.7,54.3,51.6,10.93,6.485684617,78.16373147,7
3002,KWB,Sporolithon,Sporolithon_KWB,T101,R3,51.3,39.4,34.8,6.15,3.649310191,33.17981925,
